,Unnamed: 0,part1,part2,part3,name,type
0,0,https://fbref.com/en/comps/882/,/schedule/,-Europa-Conference-League-Scores-and-Fixtures,UEFA_Europa_Conference_League,winter
1,1,https://fbref.com/en/comps/70/,/schedule/,-Saudi-Professional-League-Scores-and-Fixtures,Saudia_Professional_League,winter
2,2,https://fbref.com/en/comps/69/,/schedule/,-Belgian-First-Division-B-Scores-and-Fixtures,Challenger_Pro_League,winter
3,3,https://fbref.com/en/comps/52/,/schedule/,-Premier-Division-Scores-and-Fixtures,South_African_Premier_Division,winter
4,4,https://fbref.com/en/comps/39/,/schedule/,-Ukrainian-Premier-League-Scores-and-Fixtures,Ukrainian_Premier_League,winter
5,5,https://fbref.com/en/comps/37/,/schedule/,-Belgian-First-Division-A-Scores-and-Fixtures,Belgian_Pro_League,winter
6,6,https://fbref.com/en/comps/72/,/schedule/,-Scottish-Championship-Scores-and-Fixtures,Scottish_Championship,winter
7,7,https://fbref.com/en/comps/8/,/schedule/,-Champions-League-Scores-and-Fixtures,UEFA_Champions_League,winter
8,8,https://fbref.com/en/comps/30/,/schedule/,-Russian-Premier-League-Scores-and-Fixtures,Russian_Premier_League,winter
9,9,https://fbref.com/en/comps/40/,/schedule/,-Scottish-Premiership-Scores-and-Fixtures,Scottish_Premiership,winter
10,10,https://fbref.com/en/comps/64/,/schedule/,-Persian-Gulf-Pro-League-Scores-and-Fixtures,Persian_Gulf_Pro_League,winter
11,11,https://fbref.com/en/comps/57/,/schedule/,-Swiss-Super-League-Scores-and-Fixtures,Swiss_Super_League,winter
12,12,https://fbref.com/en/comps/67/,/schedule/,-Bulgarian-First-League-Scores-and-Fixtures,Bulgarian_First,winter
13,13,https://fbref.com/en/comps/56/,/schedule/,-Austrian-Bundesliga-Scores-and-Fixtures,Austrian_Bundesliga,winter
14,14,https://fbref.com/en/comps/19/,/schedule/,-Europa-League-Scores-and-Fixtures,UEFA_Europa_League,winter
15,15,https://fbref.com/en/comps/27/,/schedule/,-Super-League-Greece-Scores-and-Fixtures,Super_League_Greece,winter
16,16,https://fbref.com/en/comps/82/,/schedule/,-Indian-Super-League-Scores-and-Fixtures,India_Super_League,winter
17,17,https://fbref.com/en/comps/9/,/schedule/,-Premier-League-Scores-and-Fixtures,Premier_League,winter
18,18,https://fbref.com/en/comps/54/,/schedule/,-Serbian-SuperLiga-Scores-and-Fixtures,Serbian_Superliga,winter
19,19,https://fbref.com/en/comps/51/,/schedule/,-Eerste-Divisie-Scores-and-Fixtures,Eerste_Divisie,winter
20,20,https://fbref.com/en/comps/10/,/schedule/,-Championship-Scores-and-Fixtures,Championship,winter
21,21,https://fbref.com/en/comps/33/,/schedule/,-2-Bundesliga-Scores-and-Fixtures,2_Bundesliga,winter
22,22,https://fbref.com/en/comps/36/,/schedule/,-Ekstraklasa-Scores-and-Fixtures,Ekstraklasa_Poland,winter
23,23,https://fbref.com/en/comps/32/,/schedule/,-Primeira-Liga-Scores-and-Fixtures,Primeira_Liga,winter
24,24,https://fbref.com/en/comps/17/,/schedule/,-Segunda-Division-Scores-and-Fixtures,La_Liga_2,winter
25,25,https://fbref.com/en/comps/66/,/schedule/,-Czech-First-League-Scores-and-Fixtures,Czech_First,winter
26,26,https://fbref.com/en/comps/50/,/schedule/,-Superliga-Scores-and-Fixtures,Denmark_Superliga,winter
